"id","price","type","rooms","neighborhood","suites","bathrooms","garages","private_area","total_area"
1,468000,"Apartamento",3,"Jardim La Salle",1,2,2,89.27,0
2,680000,"Apartamento",3,"Centro",1,2,1,120,168.42
3,230000,"Casa",2,"São Francisco",0,1,1,65.94,128.3
4,580000,"Casa",3,"Jardim Gisela",1,2,2,107.97,180
5,270000,"Casa",2,"Jardim Panorama",1,2,2,70,166.67
6,580000,"Casa",3,"Jardim Gisela",1,2,2,108,180
7,240000,"Apartamento",2,"Jardim Coopagro",0,1,1,79.19,0
8,425000,"Casa",3,"Jardim Coopagro",0,2,2,145,250
9,360000,"Apartamento",2,"Jardim Pancera",1,2,1,98.62,0
10,580000,"Casa",3,"Jardim Gisela",1,2,2,107.97,180
11,580000,"Casa",3,"Jardim Gisela",1,2,2,108,180
12,270000,"Apartamento",2,"Jardim Porto Alegre",0,1,1,74,81.5
13,800000,"Apartamento",3,"Centro",1,2,2,105,190
14,453000,"Apartamento",3,"Jardim La Salle",1,2,2,89.27,0
15,550000,"Apartamento",3,"Vila Industrial",1,3,2,100.59,127.69
16,285000,"Casa",2,"Jardim Coopagro",0,2,1,84.85,125
17,1050000,"Casa",2,"Jardim Pancera",1,3,2,165.26,245
18,469170,"Apartamento",2,"Jardim Paraná",1,2,1,87,119
19,750000,"Apartamento",3,"Jardim Santa Maria",1,2,1,167.55,205.05
20,750000,"Apartamento",3,"Jardim Santa Maria",1,2,1,166.84,204.18
21,810000,"Apartamento",3,"Jardim Santa Maria",1,2,1,167.84,205.05
22,2990000,"Apartamento",3,"Vila Industrial",3,4,3,170.54,328.73
23,650000,"Casa",3,"Jardim Pancera",1,3,1,115,180
24,225000,"Casa",2,"Jardim Panorama",1,2,1,53.1,120
25,225000,"Casa",2,"Jardim Panorama",1,2,1,53.1,120
26,225000,"Casa",2,"Jardim Panorama",1,2,1,53.1,120
27,800000,"Apartamento",3,"Jardim Santa Maria",1,2,1,167.84,205.05
28,225000,"Casa",2,"Jardim Panorama",1,2,1,53.1,120
29,467407,"Apartamento",3,"Jardim Paraná",1,2,1,87,119
30,650000,"Apartamento",3,"Centro",1,2,1,108,0
31,285000,"Casa",2,"Jardim Coopagro",0,2,1,84.85,125
32,850000,"Apartamento",3,"Jardim Santa Maria",1,2,1,167.84,205.05
33,225000,"Casa",2,"Jardim Panorama",1,2,1,53.1,120
34,650000,"Apartamento",3,"Centro",1,2,1,108,0
35,765000,"Apartamento",3,"Centro",1,2,1,108,0
36,670000,"Apartamento",3,"Centro",1,2,1,108,0
37,760000,"Apartamento",3,"Centro",1,2,1,108,0
38,780000,"Apartamento",3,"Centro",1,2,1,108,0
39,422106,"Apartamento",2,"Jardim Paraná",1,2,1,83,114
40,300000,"Casa",2,"Jardim Bressan",1,2,2,75,125.83
41,511770,"Apartamento",3,"Jardim Paraná",1,2,1,96,130
42,441050,"Apartamento",3,"Jardim Paraná",1,2,1,87,119
43,509595,"Apartamento",3,"Jardim Paraná",1,2,1,93,127
44,670000,"Apartamento",3,"Centro",1,2,1,108,0
45,478636,"Apartamento",3,"Jardim Paraná",1,2,1,93,127
46,499919,"Apartamento",2,"Jardim Paraná",1,2,1,91,124
47,469927,"Apartamento",2,"Jardim Paraná",1,2,1,91,124
48,785000,"Apartamento",3,"Centro",1,2,1,108,0
49,475000,"Casa",3,"Jardim Gisela",1,2,2,148.11,291.2
50,1200000,"Casa",3,"Jardim Gisela",1,3,1,173,412.66
51,650000,"Casa",3,"Jardim Gisela",1,3,2,130,187.5
52,630000,"Apartamento",3,"Centro",1,2,1,108,0
53,630000,"Apartamento",3,"Centro",1,2,1,108,0
54,1175000,"Apartamento",3,"Jardim La Salle",3,4,3,160,0
55,700000,"Apartamento",3,"Centro",1,2,1,108,0
56,740000,"Apartamento",3,"Centro",1,2,1,108,0
57,720000,"Apartamento",3,"Centro",1,2,1,108,0
58,705000,"Apartamento",3,"Centro",1,2,1,108,0
59,610000,"Apartamento",3,"Centro",1,2,1,108,0
60,610000,"Apartamento",3,"Centro",1,2,1,108,0
61,630000,"Apartamento",3,"Centro",1,2,1,108,0
62,745000,"Apartamento",3,"Centro",1,2,1,108,0
63,725000,"Apartamento",3,"Centro",1,2,1,108,0
64,630000,"Apartamento",3,"Centro",1,2,1,108,0
65,550000,"Casa",3,"Jardim Pancera",1,2,1,99.95,180
66,525000,"Casa",3,"Jardim Pancera",1,2,2,100,180
67,790000,"Casa",3,"Jardim Gisela",1,2,5,176.99,370.96
68,525000,"Casa",3,"Jardim Pancera",1,2,2,100,180
69,250000,"Casa",2,"Jardim Concórdia",1,2,1,58,87.5
70,650000,"Apartamento",3,"Centro",1,2,1,130,156.68
71,275000,"Apartamento",2,"Vila Industrial",0,1,1,54.38,90.41
72,210000,"Casa",2,"São Francisco",1,2,1,54,127
73,150000,"Casa",2,"Jardim Europa",0,1,0,41.85,116.94
74,550000,"Casa",3,"Jardim Pancera",1,2,1,99.95,180
75,258000,"Casa",2,"Jardim Parizzotto",0,1,1,71.58,74.66
76,1580000,"Casa",3,"Vila Industrial",3,3,4,217,454
77,1350000,"Casa",3,"Tocantins",1,3,2,142.35,360.18
78,480000,"Apartamento",3,"Centro",1,2,2,106,140
79,900000,"Apartamento",3,"Vila Industrial",3,4,1,107.01,180
80,800000,"Casa",3,"Jardim Gisela",1,3,2,130,217.5
81,3800000,"Casa",3,"Jardim La Salle",3,4,4,350.4,796.5
82,265000,"Casa",3,"Jardim Coopagro",1,2,1,68,125
83,400000,"Casa",2,"Jardim Pancera",1,2,1,98.2,180
84,440000,"Apartamento",2,"Jardim Gisela",1,2,1,83.4,115.98
85,1100000,"Casa",4,"Jardim Gisela",1,2,4,163,297.77
86,510000,"Apartamento",2,"Centro",1,2,2,72.5,112.87
